gene_id,H1_Cell_Line,CD4_Memory_Primary_Cells,CD4_Naive_Primary_Cells,Adult_Liver,HepG2_Hepatocellular_Carcinoma
ENSG00000000003,43,0,1,73,49
ENSG00000000419,35,45,47,52,62
ENSG00000000457,2,7,8,4,2
ENSG00000000460,6,3,3,0,3
ENSG00000000938,0,3,3,4,0
ENSG00000000971,0,4,0,566,0
ENSG00000001036,49,4,3,43,74
ENSG00000001084,6,5,4,25,10
ENSG00000001167,13,24,29,6,10
ENSG00000001461,2,13,16,1,3
ENSG00000001497,12,17,23,8,8
ENSG00000001561,4,3,3,5,0
ENSG00000001617,24,0,0,1,8
ENSG00000001626,0,0,0,0,0
ENSG00000001629,16,15,16,4,19
ENSG00000001630,113,9,6,50,14
ENSG00000001631,8,8,13,6,9
ENSG00000002330,7,8,7,15,9
ENSG00000002549,13,15,10,106,51
ENSG00000002586,24,79,38,76,27
ENSG00000002587,0,0,0,0,0
ENSG00000002726,0,0,0,8,0
ENSG00000002822,3,6,7,3,5
ENSG00000002834,88,48,31,41,70
ENSG00000002919,10,25,24,10,13
ENSG00000002933,0,0,0,611,0
ENSG00000003056,55,31,25,31,34
ENSG00000003096,1,0,0,1,0
ENSG00000003147,13,0,0,3,0
ENSG00000003249,39,5,6,0,37
ENSG00000003393,6,3,3,5,8
ENSG00000003400,0,5,14,2,15
ENSG00000003402,0,31,24,6,8
ENSG00000003436,1,0,0,43,74
ENSG00000003509,13,12,12,5,12
ENSG00000003756,10,50,52,8,42
ENSG00000003987,2,1,1,0,0
ENSG00000003989,17,0,0,126,96
ENSG00000004059,51,51,41,86,81
ENSG00000004139,2,12,14,1,0
ENSG00000004399,24,30,2,8,11
ENSG00000004455,24,11,14,33,39
ENSG00000004468,0,2,5,2,0
ENSG00000004478,90,6,9,36,24
ENSG00000004487,113,24,34,12,60
ENSG00000004534,21,29,36,11,33
ENSG00000004660,3,2,3,0,1
ENSG00000004700,26,19,15,8,5
ENSG00000004766,1,4,6,2,3
ENSG00000004776,1,0,0,8,0
ENSG00000004777,10,9,8,0,1
ENSG00000004779,110,23,21,111,136
ENSG00000004799,0,0,0,209,0
ENSG00000004846,0,0,0,0,0
ENSG00000004848,0,0,0,0,0
ENSG00000004864,29,7,5,64,27
ENSG00000004866,5,2,0,11,5
ENSG00000004897,15,14,15,7,16
ENSG00000004948,2,0,0,0,0
ENSG00000004961,17,4,3,14,8
ENSG00000004975,17,11,14,4,4
ENSG00000005001,1,0,0,0,0
ENSG00000005007,24,42,33,17,17
ENSG00000005020,2,3,0,8,2
ENSG00000005059,5,51,64,1,0
ENSG00000005073,0,0,0,0,0
ENSG00000005075,77,41,39,90,50
ENSG00000005100,33,5,5,4,15
ENSG00000005102,0,1,0,0,0
ENSG00000005156,14,10,12,2,10
ENSG00000005175,17,7,10,5,4
ENSG00000005187,2,1,4,91,20
ENSG00000005189,2,2,0,1,4
ENSG00000005194,33,15,31,20,56
ENSG00000005206,18,14,31,5,7
ENSG00000005238,2,1,1,1,3
ENSG00000005243,0,0,0,46,0
ENSG00000005249,15,1,0,3,0
ENSG00000005302,3,29,66,4,3
ENSG00000005339,12,77,82,5,3
ENSG00000005379,1,8,5,1,0
ENSG00000005381,0,6,17,0,0
ENSG00000005421,0,0,0,458,0
ENSG00000005436,4,5,7,8,6
ENSG00000005448,8,6,6,1,5
ENSG00000005469,1,3,3,11,2
ENSG00000005471,0,0,0,45,7
ENSG00000005483,13,98,71,8,3
ENSG00000005486,23,130,60,52,21
ENSG00000005513,4,0,1,0,0
ENSG00000005700,6,11,10,13,15
ENSG00000005801,27,8,10,2,4
ENSG00000005810,5,39,49,3,3
ENSG00000005812,4,45,48,13,6
ENSG00000005844,0,177,133,7,0
ENSG00000005882,3,5,6,23,10
ENSG00000005884,14,2,1,0,0
ENSG00000005889,2,13,15,5,8
ENSG00000005893,16,13,11,84,65
ENSG00000005955,8,36,47,13,15
ENSG00000005961,2,2,0,0,1
ENSG00000005981,0,0,0,1,1
ENSG00000006007,57,27,10,30,39
ENSG00000006015,44,31,42,48,5
ENSG00000006016,23,0,0,0,269
ENSG00000006025,3,23,16,0,6
ENSG00000006042,56,0,0,18,105
ENSG00000006047,31,0,0,0,0
ENSG00000006062,2,32,27,4,3
ENSG00000006071,0,0,0,0,0
ENSG00000006074,0,0,0,0,0
ENSG00000006075,0,0,0,23,0
ENSG00000006114,4,15,23,2,3
ENSG00000006116,0,0,0,0,0
ENSG00000006118,19,0,0,0,6
ENSG00000006125,50,43,37,14,62
ENSG00000006128,3,0,0,0,0
ENSG00000006194,11,15,22,7,5
ENSG00000006210,2,0,0,14,85
ENSG00000006282,6,10,12,10,18
ENSG00000006327,80,0,0,30,89
ENSG00000006377,0,0,0,0,1
ENSG00000006432,5,4,3,0,4
ENSG00000006451,37,8,8,12,10
ENSG00000006453,15,1,1,14,18
ENSG00000006459,3,28,38,4,13
ENSG00000006468,17,0,0,1,0
ENSG00000006530,6,10,13,3,8
ENSG00000006555,0,2,1,0,0
ENSG00000006576,7,20,9,2,3
ENSG00000006606,37,0,0,0,0
ENSG00000006607,1,2,2,2,3
ENSG00000006611,0,0,0,0,0
ENSG00000006625,37,3,4,15,7
ENSG00000006634,22,22,16,1,1
ENSG00000006638,0,0,1,5,0
ENSG00000006652,8,14,10,4,16
ENSG00000006695,9,6,6,6,11
ENSG00000006704,8,0,0,1,10
ENSG00000006712,19,32,23,39,27
ENSG00000006715,7,4,4,6,6
ENSG00000006740,6,0,0,0,0
ENSG00000006744,28,16,20,10,12
ENSG00000006756,1,1,1,34,4
ENSG00000006757,4,0,1,25,5
ENSG00000006831,15,7,6,37,37
ENSG00000006837,3,11,8,3,5
ENSG00000007038,0,0,0,0,0
ENSG00000007047,13,8,5,3,6
ENSG00000007062,39,0,0,0,5
ENSG00000007080,49,19,13,47,20
ENSG00000007129,0,5,10,0,0
ENSG00000007168,19,46,40,21,16
ENSG00000007171,0,0,0,0,0
ENSG00000007202,44,45,47,7,43
ENSG00000007216,0,0,0,2,0
ENSG00000007237,3,3,1,0,0
ENSG00000007255,20,26,30,68,19
ENSG00000007264,8,5,3,1,0
ENSG00000007306,0,0,0,0,0
ENSG00000007312,1,5,4,4,0
ENSG00000007314,2,0,0,0,0
ENSG00000007372,0,0,0,0,0
ENSG00000007376,17,12,9,4,10
ENSG00000007384,15,0,0,1,8
ENSG00000007392,17,23,24,4,17
ENSG00000007402,9,2,2,0,0
ENSG00000007516,2,5,1,2,5
ENSG00000007520,22,21,18,44,25
ENSG00000007541,7,4,5,4,3
ENSG00000007545,8,10,12,1,7
ENSG00000007866,15,0,0,5,19
ENSG00000007908,0,0,0,1,0
ENSG00000007923,32,12,16,11,15
ENSG00000007933,0,0,0,211,0
ENSG00000007944,10,96,87,4,8
ENSG00000007952,0,0,0,0,0
ENSG00000008018,80,55,64,140,206
ENSG00000008056,7,0,0,0,0
ENSG00000008083,207,25,22,2,7
ENSG00000008086,3,0,1,0,2
ENSG00000008118,0,0,0,0,0
ENSG00000008128,16,44,34,11,2
ENSG00000008130,15,8,7,20,27
ENSG00000008196,0,0,0,0,0
ENSG00000008256,5,9,1,1,2
ENSG00000008277,5,0,0,0,0
ENSG00000008282,38,29,33,41,28
ENSG00000008283,17,17,2,3,1
ENSG00000008294,8,15,12,10,16
ENSG00000008300,9,2,2,0,5
ENSG00000008311,270,0,0,20,7
ENSG00000008323,6,0,0,0,10
ENSG00000008324,38,31,19,32,18
ENSG00000008382,7,8,7,37,10
ENSG00000008394,102,0,0,233,10
ENSG00000008405,6,21,14,7,6
ENSG00000008441,0,0,1,7,1
ENSG00000008513,2,56,51,31,17
ENSG00000008516,33,18,8,0,0
ENSG00000008517,0,134,81,149,59
ENSG00000008710,5,14,19,1,7
ENSG00000008735,2,0,0,0,1
ENSG00000008838,21,18,19,7,30
ENSG00000008853,2,2,3,1,4
ENSG00000008869,4,25,27,3,10
ENSG00000008952,40,19,24,95,13
ENSG00000009307,173,200,197,114,86
ENSG00000009335,13,17,17,9,17
ENSG00000009413,1,10,10,2,7
ENSG00000009694,0,17,20,2,0
ENSG00000009724,0,7,16,147,5
ENSG00000009790,0,42,83,1,0
ENSG00000009830,8,1,1,1,4
ENSG00000009844,28,12,12,17,29
ENSG00000009950,3,0,0,91,29
ENSG00000009954,31,22,19,16,15
ENSG00000010017,14,47,32,19,20
ENSG00000010165,16,1,2,9,13
ENSG00000010244,28,40,46,8,23
ENSG00000010256,58,26,19,138,244
ENSG00000010270,11,4,3,6,13
ENSG00000010278,123,9,0,46,12
ENSG00000010282,0,0,0,0,0
ENSG00000010292,43,14,19,2,35
ENSG00000010295,5,16,14,4,8
ENSG00000010310,0,2,2,0,0
ENSG00000010319,0,2,0,0,11
ENSG00000010322,16,37,39,7,22
ENSG00000010327,0,0,0,30,0
ENSG00000010361,6,3,6,6,0
ENSG00000010379,0,0,0,12,0
ENSG00000010404,10,64,41,12,6
ENSG00000010438,0,0,0,2,0
ENSG00000010610,1,145,108,96,0
ENSG00000010626,1,2,2,2,3
ENSG00000010671,0,7,0,3,0
ENSG00000010704,0,0,0,4,2
ENSG00000010803,6,13,11,2,27
ENSG00000010810,11,97,81,10,4
ENSG00000010818,2,49,45,2,14
ENSG00000010932,0,0,0,0,0
ENSG00000011007,25,18,11,17,12
ENSG00000011009,71,20,14,36,53
ENSG00000011021,18,8,11,3,14
ENSG00000011028,15,3,1,2,0
ENSG00000011105,13,0,0,23,27
ENSG00000011114,7,5,3,2,5
ENSG00000011132,11,16,15,4,9
ENSG00000011143,6,2,4,2,13
ENSG00000011198,3,12,2,11,2
ENSG00000011201,64,0,0,0,0
ENSG00000011243,41,54,62,13,31
ENSG00000011258,15,14,19,4,15
ENSG00000011260,26,22,26,12,19
ENSG00000011275,9,43,55,5,19
ENSG00000011295,19,20,20,10,2
ENSG00000011304,257,109,98,51,119
ENSG00000011332,2,0,0,0,0
ENSG00000011347,7,0,0,8,3
ENSG00000011376,24,5,6,5,14
ENSG00000011405,34,17,17,6,23
ENSG00000011422,16,7,1,11,2
ENSG00000011426,43,0,0,0,6
ENSG00000011451,10,7,10,3,3
ENSG00000011454,7,9,11,3,9
ENSG00000011465,0,0,0,99,0
ENSG00000011478,23,4,2,3,23
ENSG00000011485,17,5,8,10,17
ENSG00000011523,8,17,24,1,5
ENSG00000011566,11,6,7,5,30
ENSG00000011590,0,1,1,0,0
ENSG00000011600,0,17,8,288,0
ENSG00000011638,17,4,4,2,4
ENSG00000011677,8,0,0,0,0
ENSG00000012048,7,0,0,0,4
ENSG00000012061,14,17,26,16,23
ENSG00000012124,0,0,0,2,0
ENSG00000012174,4,2,3,7,7
ENSG00000012211,3,12,7,2,1
ENSG00000012223,0,0,20,0,0
ENSG00000012232,27,2,1,1,5
ENSG00000012504,0,0,0,63,19
ENSG00000012660,132,78,38,27,34
ENSG00000012779,0,25,1,3,0
ENSG00000012817,4,45,50,0,10
ENSG00000012822,4,31,35,11,19
ENSG00000012963,14,14,11,10,10
ENSG00000012983,8,11,10,4,5
ENSG00000013016,4,1,2,8,0
ENSG00000013275,69,43,30,74,60
ENSG00000013288,2,20,20,13,3
ENSG00000013297,2,0,0,0,1
ENSG00000013306,130,44,42,71,137
ENSG00000013364,1,76,82,38,29
ENSG00000013374,11,29,35,14,13
ENSG00000013375,13,5,7,9,27
ENSG00000013392,3,3,6,3,10
ENSG00000013441,8,270,224,20,31
ENSG00000013503,4,3,3,5,4
ENSG00000013523,14,7,13,3,16
ENSG00000013561,3,3,4,15,3
ENSG00000013563,4,12,10,6,6
ENSG00000013573,12,3,3,1,6
ENSG00000013583,12,2,5,49,3
ENSG00000013588,0,0,0,0,0
ENSG00000013619,0,1,0,0,0
ENSG00000013725,0,204,197,0,0
ENSG00000013810,42,38,55,1,9
ENSG00000014123,16,18,24,16,8
ENSG00000014138,6,4,6,1,4
ENSG00000014164,9,12,13,3,5
ENSG00000014216,22,20,13,12,22
ENSG00000014257,1,0,0,0,0
ENSG00000014641,43,17,20,57,80
ENSG00000014824,30,13,15,20,17
ENSG00000014914,1,0,0,0,1
ENSG00000014919,12,6,7,15,12
ENSG00000015133,9,51,62,0,1
ENSG00000015171,9,18,22,16,12
ENSG00000015285,0,66,65,6,0
ENSG00000015413,3,0,0,0,34
ENSG00000015475,10,6,4,15,9
ENSG00000015479,50,59,59,17,25
ENSG00000015520,0,0,0,14,22
ENSG00000015532,24,14,14,4,19
ENSG00000015592,0,0,0,0,0
ENSG00000015676,11,18,25,8,10
ENSG00000016082,0,0,0,0,0
ENSG00000016391,3,2,0,35,64
ENSG00000016402,1,0,0,0,0
ENSG00000016490,0,0,0,0,0
ENSG00000016602,0,0,0,0,0
ENSG00000016864,14,9,11,25,42
ENSG00000017260,26,13,12,9,10
ENSG00000017373,0,0,0,1,3
ENSG00000017427,0,0,0,54,0
ENSG00000017483,30,6,3,0,44
ENSG00000017621,0,0,0,2,0
ENSG00000017797,34,8,8,17,21
ENSG00000018189,5,5,5,3,3
ENSG00000018236,7,0,0,0,0
ENSG00000018280,0,0,0,1,0
ENSG00000018408,5,0,0,7,36
ENSG00000018510,9,7,8,8,21
ENSG00000018610,8,10,9,8,4
ENSG00000018625,15,0,0,0,0
ENSG00000018699,11,7,12,4,19
ENSG00000019102,0,0,0,1,2
ENSG00000019144,5,0,0,1,2
ENSG00000019169,0,0,0,147,0
ENSG00000019186,0,0,0,0,16
ENSG00000019505,6,0,0,0,0
ENSG00000019549,0,0,0,6,0
ENSG00000019582,51,517,156,621,18
ENSG00000019991,0,0,0,6,0
ENSG00000019995,8,26,27,17,11
ENSG00000020129,9,9,5,2,6
ENSG00000020181,1,1,2,3,0
ENSG00000020256,4,1,1,1,8
ENSG00000020426,12,2,4,5,9
ENSG00000020577,1,0,0,2,4
ENSG00000020633,0,248,64,2,0
ENSG00000020922,11,10,14,1,5
ENSG00000021300,2,7,16,1,34
ENSG00000021355,6,38,45,25,43
ENSG00000021461,0,0,0,32,1
ENSG00000021488,0,0,0,19,7
ENSG00000021574,15,4,3,3,7
ENSG00000021645,0,0,0,0,0
ENSG00000021762,1,0,2,1,0
ENSG00000021776,15,15,19,2,6
ENSG00000021826,4,0,0,587,6
ENSG00000021852,0,0,0,621,11
ENSG00000022267,13,10,6,19,0
ENSG00000022277,12,17,20,33,35
ENSG00000022355,11,0,0,0,0
ENSG00000022556,0,0,0,0,0
ENSG00000022567,8,3,3,0,0
ENSG00000022840,37,68,52,25,25
ENSG00000022976,3,7,12,2,4
ENSG00000023041,15,39,44,25,17
ENSG00000023171,2,4,2,0,0
ENSG00000023191,6,18,16,18,11
ENSG00000023228,16,13,13,30,49
ENSG00000023287,38,25,24,16,8
ENSG00000023318,29,15,12,34,9
ENSG00000023330,25,21,7,751,30
ENSG00000023445,0,69,45,4,0
ENSG00000023516,6,20,20,5,7
ENSG00000023572,5,2,2,12,6
ENSG00000023608,12,2,3,4,3
ENSG00000023697,5,4,5,54,11
ENSG00000023734,117,73,62,70,51
ENSG00000023839,0,1,2,31,421
ENSG00000023892,3,96,126,2,5
ENSG00000023902,8,17,10,4,2
ENSG00000023909,4,4,3,26,4
ENSG00000024048,4,33,31,8,16
ENSG00000024422,9,0,0,6,0
ENSG00000024526,16,0,0,0,3
ENSG00000024862,8,26,28,51,11
ENSG00000025039,6,2,1,6,0
ENSG00000025156,8,23,60,3,14
ENSG00000025293,15,21,15,4,7
ENSG00000025423,2,0,0,764,1
ENSG00000025434,3,0,0,30,28
ENSG00000025708,0,8,1,11,3
